Player,From,To,Position,Height,Weight,Birth Date,College,player_id,draft_year,draft_round,draft_number,Team
Adam Harrington,2003.0,2003.0,G,6-5,200.0,"July 5, 1980","NC State, Auburn",harriad01,,,,Unknown
Adam Keefe,1993.0,2001.0,F,6-9,230.0,"February 22, 1970",Stanford,keefead01,1992.0,1.0,10.0,Unknown
Adam Mokoka,2020.0,2021.0,G,6-4,190.0,"July 18, 1998",,mokokad01,,,,Unknown
Adam Morrison,2007.0,2010.0,F,6-8,205.0,"July 19, 1984",Gonzaga,morriad01,2006.0,1.0,3.0,Unknown
Adama Sanogo,2024.0,2025.0,F,6-9,245.0,"February 12, 2002",UConn,sanogad01,,,,Chicago Bulls
Ade Murkey,2022.0,2022.0,G,6-5,200.0,"January 29, 1998",Denver,murkead01,,,,Unknown
Adem Bona,2025.0,2025.0,F-C,6-10,235.0,"March 28, 2003",UCLA,bonaad01,2024.0,2.0,41.0,Philadelphia 76ers
Admiral Schofield,2020.0,2024.0,G-F,6-5,241.0,"March 30, 1997",Tennessee,schofad01,2019.0,2.0,42.0,Unknown
Adonal Foyle,1998.0,2009.0,C,6-10,250.0,"March 9, 1975",Colgate,foylead01,1997.0,1.0,8.0,Unknown
Adonis Jordan,1994.0,1999.0,G,5-11,170.0,"August 21, 1970",Kansas,jordaad01,1993.0,2.0,42.0,Unknown
Adonis Thomas,2014.0,2014.0,F,6-7,200.0,"March 25, 1993",Memphis,thomaad01,,,,Unknown
Adreian Payne,2015.0,2018.0,F-C,6-10,237.0,"February 19, 1991",Michigan State,paynead01,2014.0,1.0,15.0,Unknown
Adrian Branch,1987.0,1990.0,F-G,6-7,185.0,"November 17, 1963",Maryland,brancad01,1985.0,2.0,46.0,Unknown
Adrian Caldwell,1990.0,1998.0,F-C,6-8,265.0,"July 4, 1966","SMU, Lamar",caldwad01,,,,Unknown
Adrian Dantley,1977.0,1991.0,F-G,6-5,208.0,"February 28, 1955",Notre Dame,dantlad01,1976.0,1.0,6.0,Unknown
Adrian Griffin,2000.0,2008.0,G-F,6-5,217.0,"July 4, 1974",Seton Hall,griffad01,,,,Unknown
Adrian Smith,1962.0,1972.0,G,6-1,180.0,"October 5, 1936","Northeast Mississippi Community College, Kentucky",smithad01,1958.0,2.0,86.0,Unknown
Ahmad Caver,2022.0,2022.0,G,6-2,175.0,"September 12, 1996",Old Dominion,caverah01,,,,Unknown
Ajay Mitchell,2025.0,2025.0,G,6-5,200.0,"June 25, 2002",UC Santa Barbara,mitchaj01,2024.0,2.0,38.0,Oklahoma City Thunder
Al Attles,1961.0,1971.0,G,6-0,175.0,"November 7, 1936",North Carolina A&T,attleal01,1960.0,2.0,39.0,Unknown
Al Beard,1968.0,1968.0,C,6-9,200.0,"April 27, 1942",Norfolk State,beardal01,,,,Unknown
Al Bianchi,1957.0,1966.0,G,6-3,185.0,"March 26, 1932",Bowling Green,biancal01,,,,Unknown
Al Brightman,1947.0,1947.0,F,6-2,195.0,"September 22, 1923",University of Charleston,brighal01,,,,Unknown
Al Butler,1962.0,1965.0,G,6-2,175.0,"July 9, 1938",Niagara University,butleal01,1961.0,1.0,22.0,Unknown
Al Carlson,1976.0,1976.0,C,6-11,235.0,"September 17, 1951",Oregon,carlsal01,,,,Unknown
Al Cervi,1950.0,1953.0,G-F,5-11,170.0,"February 12, 1917",,cervial01,,,,Unknown
Al Cueto,1970.0,1971.0,C-F,6-7,230.0,"August 2, 1946","St. Gregory's University, Tulsa",cuetoal01,1969.0,2.0,130.0,Unknown
Al Eberhard,1975.0,1978.0,F,6-6,225.0,"May 10, 1952",Missouri,eberhal01,1974.0,1.0,15.0,Unknown
Al Ferrari,1956.0,1963.0,G-F,6-4,190.0,"July 6, 1933",Michigan State,ferraal01,1955.0,1.0,17.0,Unknown
Al Fleming,1978.0,1978.0,F,6-7,215.0,"April 5, 1954",Arizona,flemial01,1976.0,1.0,30.0,Unknown
Al Guokas,1950.0,1950.0,F-G,6-5,200.0,"August 7, 1925",Saint Joseph's,guokaal01,,,,Unknown
Al Hairston,1969.0,1970.0,G,6-1,170.0,"December 11, 1945",Bowling Green,hairsal01,1968.0,2.0,52.0,Unknown
Al Harrington,1999.0,2014.0,F,6-9,230.0,"February 17, 1980",,harrial01,1998.0,1.0,25.0,Unknown
Al Henry,1971.0,1972.0,C,6-9,190.0,"February 9, 1949",Wisconsin,henryal01,1970.0,1.0,12.0,Unknown
Al Horford,2008.0,2025.0,C-F,6-9,240.0,"June 3, 1986",Florida,horfoal01,2007.0,1.0,3.0,Boston Celtics
Al Jackson,1968.0,1968.0,G,6-1,185.0,"July 29, 1943",Wilberforce University,jacksal01,,,,Unknown
Al Jefferson,2005.0,2018.0,C-F,6-10,289.0,"January 4, 1985",,jeffeal01,2004.0,1.0,15.0,Unknown
Al Lucas,1949.0,1949.0,F-G,6-3,195.0,"July 4, 1922",Fordham,lucasal01,,,,Unknown
Al Lujack,1947.0,1947.0,F,6-3,220.0,"October 5, 1920",Georgetown,lujacal01,,,,Unknown
Al Masino,1953.0,1954.0,G,5-10,174.0,"February 5, 1928",Canisius,masinal01,,,,Unknown
Al McGuire,1952.0,1955.0,G-F,6-2,180.0,"September 7, 1928",St. John's,mcguial01,,,,Unknown
Al Miksis,1950.0,1950.0,C,6-7,210.0,"February 2, 1928",Western Illinois University,miksial01,,,,Unknown
Al Negratti,1947.0,1947.0,F-C,6-3,200.0,"June 12, 1921",Seton Hall,negraal01,,,,Unknown
Al Roges,1954.0,1955.0,G-F,6-4,195.0,"October 25, 1930",Long Island University,rogesal01,,,,Unknown
Al Salvadori,1968.0,1968.0,F,6-9,220.0,"May 6, 1945",South Carolina,salvaal01,1967.0,2.0,32.0,Unknown
Al Sanders,1973.0,1973.0,F,6-7,240.0,"January 1, 1950",LSU,sandeal01,1972.0,2.0,56.0,Unknown
Al Skinner,1975.0,1980.0,G,6-3,190.0,"June 16, 1952",UMass,skinnal01,1974.0,2.0,160.0,Unknown
Al Smith,1972.0,1976.0,G,6-1,185.0,"January 15, 1947",Bradley,smithal01,1971.0,2.0,180.0,Unknown
Al Thornton,2008.0,2011.0,F,6-8,220.0,"December 7, 1983",Florida State,thornal01,2007.0,1.0,14.0,Unknown
Al Tucker,1968.0,1972.0,F,6-8,190.0,"February 24, 1943",Oklahoma Baptist University,tuckeal01,1967.0,1.0,6.0,Unknown
Al Williams,1971.0,1971.0,F,6-6,200.0,"February 3, 1948",Drake University,willial01,1970.0,2.0,51.0,Unknown
Al Wood,1982.0,1987.0,G-F,6-6,193.0,"June 2, 1958",UNC,woodal01,1981.0,1.0,4.0,Unknown
Al-Farouq Aminu,2011.0,2021.0,F,6-8,220.0,"September 21, 1990",Wake Forest,aminual01,2010.0,1.0,8.0,Unknown
Alaa Abdelnaby,1991.0,1995.0,F-C,6-10,240.0,"June 24, 1968",Duke,abdelal01,1990.0,1.0,25.0,Unknown
Alan Anderson,2006.0,2017.0,G-F,6-6,220.0,"October 16, 1982",Michigan State,anderal01,,,,Unknown
Alan Hardy,1981.0,1982.0,F,6-7,195.0,"May 25, 1957",Michigan,hardyal01,,,,Unknown
Alan Henderson,1996.0,2007.0,F,6-9,235.0,"December 2, 1972",Indiana,hendeal01,1995.0,1.0,16.0,Unknown
Alan Ogg,1991.0,1993.0,C,7-2,240.0,"July 5, 1967",UAB,oggal01,,,,Unknown
Alan Sawyer,1951.0,1951.0,F,6-5,195.0,"January 1, 1928",UCLA,sawyeal01,,,,Unknown
Alan Williams,2016.0,2019.0,F-C,6-8,265.0,"January 28, 1993",UC Santa Barbara,willial03,,,,Unknown
Alando Tucker,2008.0,2010.0,F,6-6,205.0,"February 11, 1984",Wisconsin,tuckeal02,2007.0,1.0,29.0,Unknown
Albert King,1982.0,1992.0,F-G,6-6,190.0,"December 17, 1959",Maryland,kingal01,1981.0,1.0,10.0,Unknown
Alec Burks,2012.0,2025.0,G,6-6,214.0,"July 20, 1991",Colorado,burksal01,2011.0,1.0,12.0,Miami Heat
Alec Kessler,1991.0,1994.0,F-C,6-11,230.0,"January 13, 1967",Georgia,kesslal01,1990.0,1.0,12.0,Unknown
Alec Peters,2018.0,2018.0,F,6-9,232.0,"April 13, 1995",Valparaiso,peteral01,2017.0,2.0,54.0,Unknown
Aleem Ford,2022.0,2022.0,F,6-8,220.0,"December 22, 1997",Wisconsin,fordal03,,,,Unknown
Aleksandar Djordjevic,1997.0,1997.0,G,6-2,198.0,"August 26, 1967",,djordal01,,,,Unknown
Aleksandar Radojević,2000.0,2005.0,C,7-3,250.0,"August 8, 1976",Barton County Community College,radojal01,,,,Unknown
Aleksej Pokusevski,2021.0,2024.0,F,7-0,190.0,"December 26, 2001",,pokusal01,2020.0,1.0,17.0,Unknown
Alen Smailagić,2020.0,2021.0,F,6-10,215.0,"August 18, 2000",,smailal01,,,,Unknown
Alex Acker,2006.0,2009.0,G,6-5,185.0,"January 21, 1983",Pepperdine,ackeral01,2005.0,2.0,60.0,Unknown
Alex Blackwell,1993.0,1993.0,F,6-6,250.0,"June 27, 1970",Monmouth University,blackal01,,,,Unknown
Alex Bradley,1982.0,1982.0,F,6-6,215.0,"October 30, 1959",Villanova,bradlal02,1981.0,2.0,86.0,Unknown
Alex Caruso,2018.0,2025.0,G,6-5,186.0,"February 28, 1994",Texas A&M,carusal01,,,,Oklahoma City Thunder
Alex Ducas,2025.0,2025.0,G-F,6-6,222.0,"December 11, 2000",Saint Mary's University,ducasal01,,,,Oklahoma City Thunder
Alex English,1977.0,1991.0,F,6-8,190.0,"January 5, 1954",South Carolina,englial01,1976.0,1.0,23.0,Unknown
Alex Fudge,2024.0,2024.0,F,6-8,200.0,"May 6, 2003","LSU, Florida",fudgeal01,,,,Unknown
Alex Garcia,2004.0,2005.0,G,6-3,220.0,"March 4, 1980",,garcial01,,,,Unknown
Alex Groza,1950.0,1951.0,C,6-7,218.0,"October 7, 1926",Kentucky,grozaal01,,,,Unknown
Alex Hannum,1950.0,1957.0,F-C,6-7,210.0,"July 19, 1923",USC,hannual01,,,,Unknown
Alex Kirk,2015.0,2015.0,C,7-0,245.0,"November 14, 1991",New Mexico,kirkal01,,,,Unknown
Alex Len,2014.0,2025.0,C,7-0,250.0,"June 16, 1993",Maryland,lenal01,2013.0,1.0,5.0,Sacramento Kings
Alex Poythress,2017.0,2019.0,F,6-9,235.0,"September 6, 1993",Kentucky,poythal01,,,,Unknown
Alex Reese,2025.0,2025.0,F,6-9,245.0,"May 21, 1999",Alabama,reeseal01,,,,Unknown
Alex Sarr,2025.0,2025.0,F,7-0,205.0,"April 26, 2005",,sarral01,2024.0,1.0,2.0,Washington Wizards
Alex Scales,2006.0,2006.0,G,6-4,185.0,"July 3, 1978",Oregon,scaleal01,,,,Unknown
Alex Stepheson,2016.0,2016.0,F,6-10,270.0,"August 7, 1987","UNC, USC",stephal01,,,,Unknown
Alex Stivrins,1986.0,1993.0,F,6-8,220.0,"November 29, 1962","Creighton, Colorado",stivral01,1985.0,2.0,75.0,Unknown
Alexander Johnson,2007.0,2008.0,F,6-9,240.0,"February 8, 1983",Florida State,johnsal01,2006.0,2.0,45.0,Unknown
Alexander Volkov,1990.0,1992.0,C,6-10,218.0,"March 28, 1964",,volkoal01,1986.0,2.0,134.0,Unknown
Alexey Shved,2013.0,2015.0,G,6-6,190.0,"December 16, 1988",,shvedal01,,,,Unknown
Alexis Ajinça,2009.0,2017.0,C-F,7-2,248.0,"May 6, 1988",,ajincal01,,,,Unknown
Alfonzo McKinnie,2018.0,2022.0,F,6-7,215.0,"September 17, 1992",Green Bay,mckinal01,,,,Unknown
Alfredrick Hughes,1986.0,1986.0,F-G,6-5,215.0,"July 19, 1962",Loyola Chicago,hugheri01,1985.0,1.0,14.0,Unknown
Alize Johnson,2019.0,2023.0,F,6-7,212.0,"April 22, 1996","Frank Phillips College, Missouri State",johnsal02,2018.0,2.0,50.0,Unknown
Allan Bristow,1974.0,1983.0,F-G,6-7,210.0,"August 23, 1951",Virginia Tech,bristal01,1973.0,1.0,21.0,Unknown
Allan Houston,1994.0,2005.0,G,6-6,200.0,"April 20, 1971",Tennessee,houstal01,1993.0,1.0,11.0,Unknown
Allan Ray,2007.0,2007.0,G,6-2,190.0,"June 17, 1984",Villanova,rayal01,,,,Unknown
Allen Crabbe,2014.0,2020.0,G-F,6-5,212.0,"April 9, 1992",California,crabbal01,2013.0,2.0,31.0,Unknown
Allen Iverson,1997.0,2010.0,G,6-0,165.0,"June 7, 1975",Georgetown,iversal01,1996.0,1.0,1.0,Unknown
Allen Leavell,1980.0,1989.0,G,6-1,170.0,"May 27, 1957",Oklahoma City University,leaveal01,1979.0,2.0,104.0,Unknown
Allen Murphy,1976.0,1977.0,G,6-5,190.0,"July 15, 1952",Louisville,murphal01,1975.0,2.0,35.0,Unknown
Allie McGuire,1974.0,1974.0,G,6-3,175.0,"July 10, 1951",Marquette,mcguial02,1973.0,2.0,49.0,Unknown
Allonzo Trier,2019.0,2020.0,G,6-4,200.0,"January 17, 1996",Arizona,trieral01,,,,Unknown
Alondes Williams,2023.0,2025.0,G,6-4,210.0,"June 19, 1999","Triton College, Oklahoma, Wake Forest",willial06,,,,Unknown
Alonzo Bradley,1978.0,1980.0,F,6-6,190.0,"October 16, 1953",Texas Southern,bradlal01,1977.0,1.0,29.0,Unknown
Alonzo Gee,2010.0,2017.0,G,6-6,225.0,"May 29, 1987",Alabama,geeal01,,,,Unknown
Alonzo Mourning,1993.0,2008.0,C-F,6-10,240.0,"February 8, 1970",Georgetown,mournal01,1992.0,1.0,2.0,Unknown
Alperen Şengün,2022.0,2025.0,C-F,6-11,235.0,"July 25, 2002",,sengual01,,,,Houston Rockets
Alphonso Ford,1994.0,1995.0,G,6-1,190.0,"October 31, 1971",Mississippi Valley State University,fordal01,1993.0,2.0,32.0,Unknown
Alton Ford,2002.0,2004.0,F,6-9,275.0,"May 29, 1981",Houston,fordal02,2001.0,2.0,51.0,Unknown
Alton Lister,1982.0,1998.0,C-F,7-0,240.0,"October 1, 1958",Arizona State,listeal01,1981.0,1.0,21.0,Unknown
Alvan Adams,1976.0,1988.0,C-F,6-9,210.0,"July 19, 1954",Oklahoma,adamsal01,1975.0,1.0,4.0,Unknown
Alvin Heggs,1996.0,1996.0,F,6-8,225.0,"December 12, 1967",Texas,heggsal01,,,,Unknown
Alvin Jones,2002.0,2002.0,C,6-11,265.0,"September 9, 1978",Georgia Tech,jonesal01,2001.0,2.0,57.0,Unknown
Alvin Robertson,1985.0,1996.0,G,6-4,185.0,"July 22, 1962",Arkansas,roberal01,1984.0,1.0,7.0,Unknown
Alvin Scott,1978.0,1985.0,F-G,6-7,185.0,"September 14, 1955",Oral Roberts,scottal01,1977.0,2.0,136.0,Unknown
Alvin Sims,1999.0,1999.0,G,6-4,235.0,"October 18, 1974",Louisville,simsal01,,,,Unknown
Alvin Williams,1998.0,2007.0,G,6-5,185.0,"August 6, 1974",Villanova,willial02,1997.0,2.0,48.0,Unknown
Amal McCaskill,1997.0,2004.0,F-C,6-11,235.0,"October 28, 1973",Marquette,mccasam01,1996.0,2.0,49.0,Unknown
Amar'e Stoudemire,2003.0,2016.0,F-C,6-10,245.0,"November 16, 1982",,stoudam01,2002.0,1.0,9.0,Unknown
Amari Bailey,2024.0,2024.0,G,6-5,185.0,"February 17, 2004",UCLA,baileam01,2023.0,2.0,41.0,Unknown
Amen Thompson,2024.0,2025.0,G,6-7,209.0,"January 30, 2003",,thompam01,2023.0,1.0,4.0,Houston Rockets
Amida Brimah,2021.0,2021.0,C,6-10,230.0,"February 11, 1994",UConn,brimaam01,,,,Unknown
Amile Jefferson,2019.0,2020.0,F,6-9,222.0,"May 7, 1993",Duke,jeffeam01,,,,Unknown
Amir Coffey,2020.0,2025.0,G,6-7,210.0,"June 17, 1997",Minnesota,coffeam01,,,,Los Angeles Clippers
Amir Johnson,2006.0,2019.0,F-C,6-9,240.0,"May 1, 1987",,johnsam01,2005.0,2.0,56.0,Unknown
Anderson Varejão,2005.0,2021.0,F-C,6-11,273.0,"September 28, 1982",,varejan01,,,,Unknown
Andrae Patterson,1999.0,2000.0,F,6-9,238.0,"November 12, 1975",Indiana,pattean01,1998.0,2.0,46.0,Unknown
Andray Blatche,2006.0,2014.0,F,6-11,235.0,"August 22, 1986",,blatcan01,2005.0,2.0,49.0,Unknown
Andre Barrett,2005.0,2008.0,G,5-10,172.0,"February 21, 1982",Seton Hall,barrean01,,,,Unknown
Andre Brown,2007.0,2009.0,F,6-9,245.0,"May 12, 1981",DePaul,brownan01,,,,Unknown
Andre Dawkins,2015.0,2015.0,G,6-5,215.0,"September 19, 1991",Duke,dawkian01,,,,Unknown
Andre Drummond,2013.0,2025.0,C,6-11,279.0,"August 10, 1993",UConn,drumman01,2012.0,1.0,9.0,Philadelphia 76ers
Andre Emmett,2005.0,2012.0,F,6-5,230.0,"August 27, 1982",Texas Tech,emmetan01,2004.0,2.0,35.0,Unknown
Andre Iguodala,2005.0,2023.0,F-G,6-6,215.0,"January 28, 1984",Arizona,iguodan01,2004.0,1.0,9.0,Unknown
Andre Ingram,2018.0,2019.0,G,6-3,190.0,"November 19, 1985",American University,ingraan01,,,,Unknown
Andre Jackson Jr.,2024.0,2025.0,G,6-6,210.0,"November 13, 2001",UConn,jacksan01,2023.0,2.0,36.0,Milwaukee Bucks
Andre McCarter,1977.0,1981.0,G,6-3,190.0,"August 25, 1953",UCLA,mccaran01,1975.0,2.0,136.0,Unknown
Andre Miller,2000.0,2016.0,G,6-3,200.0,"March 19, 1976",Utah,millean02,1999.0,1.0,8.0,Unknown
Andre Moore,1988.0,1988.0,F,6-9,215.0,"July 2, 1964",Loyola Chicago,moorean01,1987.0,2.0,31.0,Unknown
Andre Owens,2006.0,2008.0,G,6-4,200.0,"October 31, 1980","Indiana, Houston",owensan01,,,,Unknown
Andre Roberson,2014.0,2021.0,G-F,6-7,210.0,"December 4, 1991",Colorado,roberan03,2013.0,1.0,26.0,Unknown
Andre Spencer,1993.0,1994.0,F,6-6,210.0,"July 20, 1964",Northern Arizona University,spencan01,,,,Unknown
Andre Turner,1987.0,1992.0,G,5-11,160.0,"December 13, 1964",Memphis,turnean01,1986.0,2.0,69.0,Unknown
Andre Wakefield,1979.0,1980.0,G,6-3,175.0,"January 11, 1955",Loyola Chicago,wakefan01,1978.0,2.0,107.0,Unknown
Andrea Bargnani,2007.0,2016.0,F-C,7-0,245.0,"October 26, 1985",,bargnan01,2006.0,1.0,1.0,Unknown
Andreas Glyniadakis,2007.0,2007.0,C,7-1,280.0,"August 21, 1981",,glynian01,2003.0,2.0,58.0,Unknown
Andrei Kirilenko,2002.0,2015.0,F,6-9,220.0,"February 18, 1981",,kirilan01,1999.0,1.0,24.0,Unknown
Andrew Bogut,2006.0,2019.0,C,7-0,260.0,"November 28, 1984",Utah,bogutan01,2005.0,1.0,1.0,Unknown
Andrew Bynum,2006.0,2014.0,C,7-0,285.0,"October 27, 1987",,bynuman01,2005.0,1.0,10.0,Unknown
Andrew DeClercq,1996.0,2005.0,F-C,6-10,230.0,"February 1, 1973",Florida,declean01,1995.0,2.0,34.0,Unknown
Andrew Funk,2024.0,2024.0,G,6-5,200.0,"September 21, 1999","Bucknell, Penn State",funkan01,,,,Unknown
Andrew Gaze,1994.0,1999.0,G,6-7,205.0,"July 24, 1965",Seton Hall,gazean01,,,,Unknown
Andrew Goudelock,2012.0,2016.0,G,6-3,200.0,"December 7, 1988",College of Charleston,goudean01,2011.0,2.0,46.0,Unknown
Andrew Harrison,2017.0,2019.0,G,6-6,213.0,"October 28, 1994",Kentucky,harrian01,2015.0,2.0,44.0,Unknown
Andrew Lang,1989.0,2000.0,C,6-11,245.0,"June 28, 1966",Arkansas,langan01,1988.0,1.0,28.0,Unknown
Andrew Levane,1949.0,1953.0,F-G,6-2,190.0,"April 11, 1920",St. John's,levanan01,,,,Unknown
Andrew Nembhard,2023.0,2025.0,G,6-5,193.0,"January 16, 2000","Florida, Gonzaga",nembhan01,2022.0,2.0,31.0,Indiana Pacers
Andrew Nicholson,2013.0,2017.0,F,6-9,250.0,"December 8, 1989",St. Bonaventure,nichoan01,2012.0,1.0,19.0,Unknown
Andrew Toney,1981.0,1988.0,G,6-3,178.0,"November 23, 1957",Louisiana,toneyan01,1980.0,1.0,8.0,Unknown
Andrew White,2018.0,2018.0,G,6-7,210.0,"June 16, 1993","Nebraska, Syracuse",whitean01,,,,Unknown
Andrew Wiggins,2015.0,2025.0,F-G,6-7,197.0,"February 23, 1995",Kansas,wiggian01,2014.0,1.0,1.0,Golden State Warriors
Andris Biedriņš,2005.0,2014.0,C,6-11,240.0,"April 2, 1986",,biedran01,,,,Unknown
Andrés Guibert,1994.0,1995.0,F-C,6-10,225.0,"October 28, 1968",,guibean01,,,,Unknown
Andrés Nocioni,2005.0,2012.0,F,6-7,225.0,"November 30, 1979",,nocioan01,,,,Unknown
Andy Anderson,1968.0,1970.0,G,6-2,184.0,"July 6, 1945",Canisius,anderan01,1967.0,2.0,88.0,Unknown
Andy Duncan,1949.0,1951.0,F-C,6-6,195.0,"April 17, 1922",William & Mary,duncaan01,,,,Unknown
Andy Johnson,1959.0,1962.0,F-G,6-5,215.0,"November 8, 1932",University of Portland,johnsan01,,,,Unknown
Andy Kostecka,1949.0,1949.0,F,6-3,203.0,"February 10, 1921",Georgetown,kostean01,,,,Unknown
Andy O'Donnell,1950.0,1950.0,G,6-1,180.0,"March 10, 1925",Loyola (MD),odonnan01,,,,Unknown
Andy Panko,2001.0,2001.0,F,6-9,222.0,"November 27, 1977",Lebanon Valley College,pankoan01,,,,Unknown
Andy Phillip,1948.0,1958.0,G-F,6-2,195.0,"March 7, 1922",Illinois,phillan01,,,,Unknown
Andy Rautins,2011.0,2011.0,G,6-4,190.0,"November 2, 1986",Syracuse,rautian01,2010.0,2.0,38.0,Unknown
Andy Tonkovich,1949.0,1949.0,G,6-1,185.0,"November 1, 1922",Marshall,tonkoan01,,,,Unknown
Andy Toolson,1991.0,1996.0,G-F,6-6,210.0,"January 19, 1966",BYU,toolsan01,,,,Unknown
Andy Walker,1977.0,1977.0,G,6-4,190.0,"March 25, 1955",Niagara University,walkean01,1976.0,2.0,111.0,Unknown
Anfernee Hardaway,1994.0,2008.0,G-F,6-7,195.0,"July 18, 1971",Memphis,hardaan01,1993.0,1.0,3.0,Unknown
Anfernee Simons,2019.0,2025.0,G,6-3,181.0,"June 8, 1999",,simonan01,2018.0,1.0,24.0,Portland Trail Blazers
Angelo Musi,1947.0,1949.0,G,5-9,145.0,"July 25, 1918",Temple,musian01,,,,Unknown
Ansley Truitt,1973.0,1973.0,C,6-9,215.0,"August 24, 1950",California,truitan01,1972.0,2.0,41.0,Unknown
Ansu Sesay,2002.0,2005.0,F,6-9,225.0,"July 29, 1976",Ole Miss,sesayan01,1998.0,1.0,30.0,Unknown
Antawn Jamison,1999.0,2014.0,F,6-9,223.0,"June 12, 1976",UNC,jamisan01,1998.0,1.0,4.0,Unknown
Ante Žižić,2018.0,2020.0,F-C,6-10,266.0,"January 4, 1997",,zizican01,,,,Unknown
Anthony Avent,1993.0,2000.0,F,6-9,235.0,"October 18, 1969",Seton Hall,aventan01,1991.0,1.0,15.0,Unknown
Anthony Bennett,2014.0,2017.0,F,6-8,245.0,"March 14, 1993",UNLV,bennean01,2013.0,1.0,1.0,Unknown
Anthony Black,2024.0,2025.0,G,6-7,198.0,"January 20, 2004",Arkansas,blackan01,2023.0,1.0,6.0,Orlando Magic
